Test Number,Generator,Value (U),Oracles vs Mariam,Oracles vs Josias,Oracles Runtime(s),Mariam Runtime(s),Josias Runtime(s),Oracles Memory,Mariam,Josias
77,func,178,1,1,0.005179882049560547,0.006108999252319336,0.042371273040771484,9.453125,9.453125,9.453125
78,reflex,84,1,1,0.0069675445556640625,0.005358695983886719,0.03145170211791992,9.453125,9.453125,9.453125
79,onetoone,119,1,1,0.005216121673583984,0.00508427619934082,0.04146552085876465,9.453125,9.453125,9.453125
80,onto,30,1,1,0.0068056583404541016,0.005872011184692383,0.032094478607177734,9.453125,9.453125,9.453125
81,func,143,1,1,0.006369829177856445,0.005966901779174805,0.03136134147644043,9.453125,9.453125,9.453125
82,reflex,62,1,1,0.014960527420043945,0.006560087203979492,0.03281736373901367,9.453125,9.453125,9.453125
83,onetoone,104,1,1,0.005678415298461914,0.005352497100830078,0.03101801872253418,9.453125,9.453125,9.453125
84,onto,68,1,1,0.005403280258178711,0.005171298980712891,0.04513239860534668,9.453125,9.453125,9.453125
85,func,84,1,1,0.007460117340087891,0.0054242610931396484,0.032036781311035156,9.453125,9.453125,9.453125
86,reflex,43,1,1,0.005881309509277344,0.005166769027709961,0.04505276679992676,9.453125,9.453125,9.453125
87,onetoone,159,1,1,0.007153987884521484,0.005154848098754883,0.04116368293762207,9.453125,9.45703125,9.45703125
88,onto,100,1,1,0.006506443023681641,0.005677223205566406,0.03544163703918457,9.45703125,9.45703125,9.45703125
89,func,100,1,1,0.0059223175048828125,0.0051877498626708984,0.03135085105895996,9.45703125,9.45703125,9.45703125
90,reflex,191,1,1,0.005574703216552734,0.005203962326049805,0.03196358680725098,9.45703125,9.45703125,9.45703125
91,onetoone,118,1,1,0.006211996078491211,0.00725865364074707,0.03060173988342285,9.45703125,9.45703125,9.45703125
92,onto,29,1,1,0.005255937576293945,0.004905223846435547,0.030501365661621094,9.45703125,9.45703125,9.45703125
93,func,191,1,1,0.005941152572631836,0.005425691604614258,0.03532981872558594,9.45703125,9.45703125,9.45703125
94,reflex,124,1,1,0.006834745407104492,0.005098819732666016,0.031200170516967773,9.45703125,9.45703125,9.45703125
95,onetoone,159,1,1,0.006053924560546875,0.005733489990234375,0.03100752830505371,9.4609375,9.4609375,9.4609375
96,onto,165,0,1,0.007706403732299805,0.0053844451904296875,0.03131532669067383,9.46484375,9.46484375,9.46484375
97,func,81,1,1,0.005945682525634766,0.005025625228881836,0.03052663803100586,9.46484375,9.46484375,9.46484375
98,reflex,151,1,1,0.005461215972900391,0.005132913589477539,0.033289432525634766,9.46484375,9.46484375,9.46484375
99,onetoone,82,1,1,0.005800724029541016,0.005658626556396484,0.031128406524658203,9.46484375,9.46484375,9.46484375
100,onto,40,1,1,0.005568027496337891,0.005074977874755859,0.031358957290649414,9.46875,9.46875,9.46875
